0,12,55,155,250,1.3,10.5,5,2,0,4.5,15,3,0,0,132.9,26,3,3870,9,480,12,3,11,5,1,1,7,29,6,4,2,3,67.8,64,5,3,2000,125,1
0,1,55,132,300,1.3,10.6,5,0.3,1,4,30,2,6,0,124.5,26,5,4059,9,720,15,3,11,5,1,1,7,11,6,4,4,6,64,32,5,3,2000,165,1
0,9,55,142,329,1.5,8.5,5,2,3,5,30,2,20,0,145.5,4,3,4777,10,1080,4,3,1,5.04,2,1,7,27,6,4,9,6,72,32,6,3,2500,164,0
0,8,55,152,385,1.3,8,5,2,3,5,15,3,0,0,147.5,26,3,5799,19,720,17,3,2,5,1,1,7,4,6,4,1,3,75.1,32,6,3,3000,165,1
1,1,55,234,385,1.3,7.9,5,1.92,3,5,15,3,0,0,179,18,3,5990,11,720,17,3,1,5,1,1,7,4,6,4,1,6,91,32,6,3,3000,165,0
0,14,55,179,280,1.3,7.9,5,5,3,5.5,30,3,6,0,150,5,3,5999,22,720,0,0,2,8,1,1,7,4,6,4,7,3,71,32,6,3,2900,165,0
1,1,56,124,230,1.3,8.8,5,2,3,4,30,3,0,0,123,26,3,5999,11,1080,16,3,2,5,1,512,5,30,0,4,4,3,62.5,128,2,3,1700,163,1
0,8,41,154,182,1,8.1,5,2,3,5,30,5,0,0,132,26,3,6599,7,720,4,3,2,8,0,2,2,4,6,4,9,3,78,32,6,3,2000,92,1
1,8,41,214,182,1,8.2,5,2,3,5,30,3,39,0,172,18,3,6599,6,720,14,3,2,8,1,2,2,4,6,4,9,6,80,32,6,7,2000,92,1
0,1,55,155,435,1.3,11.6,5,2,3,5,15,2,5,0,142.1,5,3,6649,9,720,4,1,2,8,1,2,7,4,6,4,9,6,72.4,32,5,3,3000,125,1
0,1,55,169,514,1.3,7.9,2,2,3,5,30,3,5,0,152,26,3,6749,14,720,4,1,2,8,2,2,7,4,6,4,9,3,75,32,5,4,4000,126,1
0,10,55,137,300,1.3,7.9,5,5,3,5,30,2,42,1,141.6,18,3,6990,15,720,3,3,7,8,1,1,7,2,6,3,9,6,70,128,0,3,2600,166,0
0,1,50,135,280,1.4,8,7,5,3,5.3,30,3,10,0,148,26,3,6999,8,1080,4,3,2,13,1,1,7,20,4,4,8,2,74,32,4,3,2500,79,1
0,11,43,133,198,1.2,9,5,2,3,4.7,30,2,139,0,134,5,3,6999,7,1080,14,3,2,8,2,2,2,6,6,4,11,6,67,32,4,8,2200,94,1
0,8,41,142,200,1.3,8.9,5,5,3,5,30,3,94,0,140.8,21,3,6999,10,1080,4,1,2,13,1,3,2,18,6,6,9,6,70.4,32,6,3,2500,92,1
1,10,41,131,680,1.3,8.7,5,5,3,5,30,1,10,0,140.1,1,11,6999,23,1080,14,1,1,13,1,2,2,30,6,2,9,3,68.9,256,6,3,2500,92,1
1,10,47,152,576,1.2,8.6,5,5,3,5,30,3,28,3,144,26,3,7340,26,480,4,3,2,8,1,1,7,7,6,4,9,3,73.7,128,13,3,2200,132,1
0,10,43,128,264,1.2,8.2,5,2,3,5,30,2,126,0,141,26,3,7499,13,720,4,3,1,8,2,2,2,11,6,4,9,6,70,32,4,3,2300,94,1
0,10,41,130,180,1.3,8.4,5,2,3,4.5,30,3,0,0,69,18,3,7590,11,1080,4,3,7,5,1,1,7,2,6,6,5,6,136.5,128,6,7,2000,100,1
0,10,43,143,160,1.2,8.2,5,5,3,5,30,3,142,0,142.4,6,3,7790,7,1080,4,3,2,8,1,2,2,17,6,6,9,3,73,32,5,3,2230,94,1
0,1,55,152,450,1.2,9.4,2,5,3,5,30,2,0,0,143,5,3,7899,14,1080,4,1,2,8,1,2,7,4,6,4,9,6,71.8,32,6,3,4000,94,1
0,10,34,140,264,1.5,8,5,5,3,5.5,30,5,184,0,152.6,26,3,7914,39,1080,4,3,2,8,2,2,7,11,4,4,7,3,76.2,32,5,3,2900,16,1
2,1,38,125,354,1.3,7.6,5,5,3,5,30,5,10,0,144.6,14,11,7999,12,1080,9,1,2,13,2,3,4,27,4,2,23,6,72,128,6,5,2400,19,0
3,1,43,97,345,1.2,5.1,5,5,3,4.8,30,3,0,0,141.9,5,9,8490,8,1080,14,1,0,8,2,2,2,4,6,2,10,2,68.1,0,5,3,2000,94,1
0,10,29,150,322,1.5,8.2,5,5,3,5,30,3,113,0,142,2,12,8499,15,1080,9,3,2,13,2,2,2,11,4,6,23,6,71,32,6,4,2750,21,1
0,8,43,202,914,1.2,10.6,2,5,3,5.5,30,4,34,0,156,18,3,8999,38,1080,4,1,2,13,2,2,2,16,6,6,7,6,77.5,64,5,4,5000,94,1
0,8,43,170,456,1.2,10.8,2,5,3,5.5,30,2,189,0,152.5,7,3,8999,21,1080,9,3,2,13,2,2,2,16,6,4,7,6,77.2,128,5,3,3000,94,1
0,8,38,155,350,1.3,9.3,5,5,3,5.5,30,3,122,0,151,18,3,8999,38,1080,4,1,2,13,1,2,2,18,4,6,7,6,77,64,6,4,3000,19,1
0,1,44,160,617,1.7,9.6,5,5,3,5,30,3,0,0,150.1,26,12,9399,12,1080,4,3,9,8,2,1,7,5,4,4,9,3,72.7,32,5,3,2100,79,1
0,10,43,185,775,1.2,9.4,5,5,3,5.5,30,2,87,0,154,26,3,9499,38,1080,4,3,2,13,2,2,2,6,6,4,7,6,78.7,32,4,3,3100,94,1
0,8,55,141,218,1.2,7.6,5,8,3,5,30,2,9,0,142.7,26,10,9700,16,1080,18,1,11,8,3,1,2,10,6,4,3,6,71.7,128,1,3,2420,94,1
0,8,34,150,270,1.7,8,2,5,3,5.5,30,2,0,0,152.6,19,3,9715,30,1080,1,3,1,13,1,2,2,11,4,4,16,6,76.2,32,5,3,2900,16,1
